Player,Position_Cleaned,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,TB,Sw,PasCrs,PasLive,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,CrdY,CrdR,2CrdY,Fls,Fld,Off,OG,AerWon,AerLost,AerWon%,Rec,RecProg,Recov,PKwon,PKcon,TouDef3rd_norm,TouMid3rd_norm,TouAtt3rd_norm,TouDefPen_norm,TouAttPen_norm,grid_x,grid_y
Brenden Aaronson,AM,22.0,2000,20,19,1596,17.7,1,1.53,0.28,18.5,0.04,0.2,19.0,0.11,0.0,0.0,23.2,31.0,74.9,293.0,85.7,13.3,16.2,81.9,5.93,7.74,76.6,0.9,2.37,38.1,0.11,1.75,1.75,0.45,0.11,3.22,0.17,0.0,2.54,28.1,3.62,2.37,0.56,0.23,0.11,0.28,0.06,0.28,0.17,0.0,0.0,0.06,0.0,0.06,1.64,0.51,0.45,0.9,0.28,0.51,1.47,34.6,0.96,1.69,0.11,1.58,0.06,1.69,0.28,0.06,44.0,0.4,4.35,19.0,21.5,2.49,3.73,1.19,31.8,1.75,47.0,26.7,136.1,56.6,1.53,1.07,0.4,2.6,3.11,0.11,0.0,0.0,0.62,2.26,0.17,0.0,0.34,1.19,22.2,30.2,5.65,4.86,0.0,0.0,0.09886363636363636,0.4318181818181818,0.48863636363636365,0.009090909090909092,0.056590909090909094,29,0
Himad Abdelli,AM,23.0,1999,14,8,770,8.6,0,1.05,0.35,33.3,0.0,0.0,19.2,0.0,0.0,0.0,40.0,49.5,80.8,676.0,188.1,18.5,22.0,84.1,15.5,18.7,82.6,4.42,5.93,74.5,0.0,1.51,3.95,1.74,0.35,6.4,0.12,0.23,1.05,48.1,2.67,2.44,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,1.4,1.28,1.4,0.23,1.63,2.67,60.9,1.05,1.51,0.12,1.4,0.93,3.84,0.93,0.0,62.6,0.93,11.4,36.0,17.4,1.16,3.84,2.09,54.5,1.51,39.4,48.5,298.5,151.0,2.56,2.56,0.47,2.09,1.05,0.12,0.0,0.0,1.74,1.28,0.0,0.0,0.93,1.05,47.1,43.4,5.93,8.14,0.0,0.0,0.18210862619808307,0.5750798722044729,0.27795527156549515,0.014856230031948883,0.01853035143769968,67,0
Salis Abdul Samed,MF,22.0,2000,20,20,1799,20.0,1,0.6,0.15,25.0,0.08,0.33,20.3,0.0,0.0,0.0,59.5,64.9,91.6,946.3,226.9,29.6,31.8,93.2,24.7,26.2,94.3,3.35,4.3,77.9,0.0,0.5,6.0,0.55,0.1,5.6,0.05,0.2,0.35,63.1,1.6,1.35,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.55,0.85,0.1,0.85,1.3,65.4,0.45,1.3,0.35,0.95,1.1,2.6,0.8,0.0,73.3,2.1,12.0,49.6,12.2,0.7,1.25,0.7,56.0,0.4,32.0,61.0,316.9,117.5,1.25,1.95,0.15,1.35,1.3,0.15,0.0,0.0,2.45,1.35,0.0,0.05,0.5,0.5,50.0,56.5,1.7,6.6,0.0,0.0,0.16371077762619374,0.6766712141882675,0.1664392905866303,0.028649386084583905,0.009549795361527967,94,0
Laurent Abergel,MF,30.0,1993,15,15,1165,12.9,0,0.31,0.0,0.0,0.0,0.0,23.9,0.0,0.0,0.0,37.9,43.4,87.3,613.6,224.7,17.9,19.4,92.4,15.7,17.8,88.6,2.64,3.95,66.7,0.08,0.62,3.88,0.39,0.0,5.04,0.39,0.16,0.23,42.6,1.24,1.01,0.08,0.0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,3.8,2.02,2.64,1.16,0.0,1.32,3.26,40.5,1.94,1.4,0.23,1.16,1.16,4.96,1.55,0.0,54.7,3.26,19.2,31.4,4.88,0.23,0.93,0.54,58.3,0.31,33.3,41.0,174.3,72.7,0.47,0.93,0.0,1.32,0.78,0.16,0.0,0.0,0.93,1.01,0.0,0.0,0.31,0.39,44.4,36.4,0.47,6.51,0.0,0.0,0.3510054844606947,0.5740402193784278,0.08921389396709323,0.05959780621572212,0.004204753199268738,61,0
Oliver Abildgaard,MF,26.0,1996,1,0,11,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,66.7,310.0,90.0,10.0,10.0,100.0,10.0,10.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,50.0,0.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,31,0
Matthis Abline,MF,19.0,2003,5,2,185,2.1,1,4.29,1.43,33.3,0.11,0.33,20.4,0.0,0.0,0.0,7.14,10.0,71.4,139.5,40.0,1.43,2.38,60.0,4.76,5.24,90.9,0.48,0.95,50.0,0.0,0.0,0.48,1.43,0.48,1.9,0.0,0.0,0.95,9.05,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.48,0.0,0.95,0.48,0.0,0.95,0.0,0.95,0.48,0.0,0.48,0.48,1.9,0.48,0.0,25.7,0.48,1.43,11.4,12.9,6.67,1.43,0.48,33.3,0.95,66.7,17.1,97.1,10.5,1.43,0.0,0.95,7.62,3.33,0.0,0.0,0.0,0.95,1.43,0.48,0.0,1.43,1.43,50.0,19.0,6.67,0.48,0.0,0.0,0.0556420233463035,0.443579766536965,0.5019455252918288,0.01867704280155642,0.2595330739299611,13,0
Matthis Abline,MF,19.0,2003,11,0,107,1.2,1,5.0,1.67,33.3,0.17,0.5,12.2,0.0,0.0,0.0,5.83,12.5,46.7,107.5,25.0,2.5,5.0,50.0,2.5,3.33,75.0,0.83,0.83,100.0,0.0,1.67,0.83,0.83,0.0,1.67,0.83,0.0,1.67,12.5,5.83,1.67,0.0,0.0,2.5,0.83,0.83,1.67,0.0,0.0,0.0,0.0,0.83,0.83,0.83,0.83,0.0,0.0,0.83,0.83,0.83,100.0,0.0,0.83,0.0,0.83,1.67,2.5,0.83,0.0,30.8,0.83,0.83,12.5,18.3,12.5,0.0,0.0,0.0,0.0,0.0,22.5,145.0,87.5,3.33,0.83,1.67,8.33,0.83,0.0,0.0,0.0,2.5,4.17,0.83,0.0,0.83,3.33,20.0,22.5,9.17,1.67,0.83,0.0,0.026948051948051947,0.40584415584415584,0.5941558441558442,0.026948051948051947,0.40584415584415584,10,0
Abner,DF,22.0,2000,4,3,272,3.0,0,0.67,0.33,50.0,0.0,0.0,7.8,0.0,0.0,0.0,39.0,54.3,71.8,590.0,265.3,20.7,23.3,88.6,13.3,20.0,66.7,2.33,5.67,41.2,0.0,0.0,3.0,0.33,0.0,3.33,0.0,0.67,1.33,42.3,1.0,0.67,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,2.67,2.33,2.33,0.33,0.0,2.0,2.33,85.7,0.33,1.33,0.67,0.67,2.0,4.67,2.67,0.0,65.7,4.67,20.7,30.7,15.0,1.67,1.33,0.33,25.0,1.0,75.0,30.3,112.7,67.3,0.67,0.67,0.33,1.0,0.67,0.0,0.0,0.0,0.67,0.67,0.0,0.0,1.0,2.0,33.3,35.0,3.67,6.0,0.0,0.0,0.3150684931506849,0.4672754946727549,0.228310502283105,0.07108066971080669,0.025418569254185692,59,0
Zakaria Aboukhlal,MF,22.0,2000,22,17,1507,16.7,5,2.75,1.02,37.0,0.11,0.29,18.1,0.0,0.0,0.0,17.6,25.3,69.7,219.5,49.6,11.7,14.9,79.0,4.43,6.17,71.8,0.24,0.84,28.6,0.24,0.54,0.78,0.42,0.06,1.8,0.06,0.0,0.96,24.3,2.34,1.32,0.0,0.18,0.36,0.42,0.06,0.24,0.12,0.0,0.06,0.0,0.06,0.0,1.14,0.72,0.54,0.3,0.3,0.3,1.32,22.7,1.02,0.54,0.06,0.48,0.84,1.98,0.66,0.0,38.0,0.96,5.45,14.6,18.7,4.97,3.17,1.02,32.1,1.86,58.5,28.6,177.7,74.7,3.05,1.08,1.14,2.57,0.96,0.18,0.0,0.0,1.56,1.8,0.72,0.0,0.42,1.32,24.1,27.1,9.52,4.43,0.0,0.0,0.14342105263157895,0.38421052631578945,0.4921052631578947,0.02526315789473684,0.1307894736842105,21,0
Tammy Abraham,FW,25.0,1997,22,18,1582,17.6,6,2.67,1.25,46.8,0.13,0.27,11.6,0.0,0.0,0.0,13.7,20.1,68.6,194.8,49.3,8.13,10.4,78.1,4.03,6.42,62.8,0.91,1.31,69.6,0.17,1.42,0.63,0.63,0.06,2.1,0.11,0.06,0.28,18.4,3.07,1.99,0.0,0.23,0.57,0.28,0.0,0.51,0.23,0.0,0.06,0.17,0.06,0.0,0.74,0.4,0.17,0.34,0.23,0.23,0.68,33.3,0.45,0.51,0.23,0.28,0.17,0.91,0.45,0.0,31.6,0.74,2.1,16.5,13.5,4.83,3.01,0.8,26.4,1.7,56.6,16.8,89.8,35.9,1.42,0.97,0.63,2.33,1.31,0.06,0.0,0.0,1.31,2.05,0.51,0.0,2.56,2.39,51.7,24.5,5.0,1.87,0.06,0.0,0.06645569620253164,0.5221518987341772,0.4272151898734177,0.02341772151898734,0.15284810126582277,19,0
Mohamed Achi,FW,21.0,2002,2,0,36,0.4,0,2.5,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,45.0,52.5,85.7,685.0,190.0,17.5,17.5,100.0,25.0,30.0,83.3,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,7.5,0.0,0.0,2.5,50.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,2.5,2.5,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,62.5,0.0,10.0,27.5,25.0,0.0,2.5,0.0,0.0,2.5,100.0,52.5,335.0,187.5,5.0,5.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,2.5,5.0,0.0,0.0,0.16,0.44,0.4,0.0,0.0,68,0
Che Adams,FW,26.0,1996,21,18,1577,17.5,4,2.06,0.74,36.1,0.11,0.31,14.5,0.0,0.0,0.0,14.6,22.2,65.8,206.9,48.1,9.26,12.5,74.3,3.14,4.97,63.2,1.26,1.77,71.0,0.11,1.2,0.97,0.57,0.11,1.31,0.11,0.4,0.51,21.8,2.63,2.06,0.06,0.06,0.23,0.23,0.0,0.29,0.17,0.0,0.0,0.0,0.11,0.0,0.86,0.69,0.34,0.4,0.11,0.4,0.51,77.8,0.11,0.51,0.17,0.34,0.23,1.09,1.03,0.0,32.6,1.26,2.97,13.0,17.2,4.74,1.43,0.63,44.0,0.63,44.0,18.0,73.8,21.9,0.69,0.51,0.46,3.43,0.91,0.0,0.0,0.0,1.77,1.03,0.4,0.0,2.97,5.03,37.1,25.0,4.57,2.29,0.0,0.0,0.09110429447852761,0.3987730061349693,0.5276073619631901,0.03865030674846626,0.14539877300613496,20,0
Tyler Adams,MF,23.0,1999,19,19,1706,19.0,0,0.11,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,47.1,57.4,82.0,715.1,220.9,25.7,29.2,87.9,16.8,19.9,84.7,2.84,4.74,60.0,0.0,1.21,4.37,0.63,0.0,5.84,0.05,0.05,0.11,54.3,1.84,1.79,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,4.11,2.0,2.05,1.68,0.37,2.21,3.16,70.0,0.95,1.84,0.32,1.53,1.42,5.53,1.16,0.0,69.4,1.53,15.4,43.2,11.3,0.16,0.89,0.16,17.6,0.58,64.7,35.2,137.1,62.5,0.68,1.0,0.0,1.16,0.68,0.26,0.05,0.05,1.74,1.05,0.05,0.0,0.89,0.63,58.6,39.6,0.95,8.68,0.0,0.0,0.22190201729106626,0.622478386167147,0.1628242074927954,0.022046109510086453,0.0023054755043227662,71,0
Tosin Adarabioyo,DF,25.0,1997,14,12,1095,12.2,1,0.33,0.16,50.0,0.25,0.5,16.4,0.0,0.0,0.0,38.9,48.5,80.1,808.6,296.6,9.59,11.0,87.3,25.2,28.4,88.5,3.77,7.79,48.4,0.0,0.08,2.38,0.16,0.0,2.95,0.0,0.49,0.08,46.1,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.41,0.82,0.16,0.08,0.49,0.74,66.7,0.25,0.82,0.66,0.16,1.07,2.13,5.33,0.08,58.1,9.51,31.6,25.5,1.48,0.25,0.25,0.16,66.7,0.08,33.3,28.9,156.6,95.9,0.49,0.66,0.0,0.16,0.25,0.16,0.0,0.0,0.66,0.25,0.0,0.0,2.13,0.41,83.9,35.0,0.08,4.67,0.0,0.0,0.5438898450946644,0.4388984509466437,0.025473321858864025,0.16368330464716005,0.004302925989672977,80,0
Martin Adeline,AM,19.0,2003,5,0,107,1.2,0,0.83,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,24.2,34.2,70.7,325.0,77.5,10.0,15.0,66.7,9.17,11.7,78.6,0.83,2.5,33.3,0.0,0.0,1.67,0.0,0.0,2.5,0.0,0.0,0.0,31.7,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1.67,0.83,0.0,2.5,3.33,75.0,0.83,2.5,0.83,1.67,2.5,5.0,2.5,0.0,49.2,3.33,18.3,18.3,13.3,0.83,2.5,0.83,33.3,1.67,66.7,25.8,144.2,69.2,0.83,0.0,0.0,3.33,1.67,1.67,0.0,0.0,4.17,0.0,0.0,0.0,5.0,4.17,54.5,22.5,0.83,9.17,0.0,0.0,0.3719512195121951,0.3719512195121951,0.2703252032520325,0.06768292682926828,0.01686991869918699,32,0
Karim Adeyemi,MF,21.0,2002,15,11,765,8.5,2,2.24,0.94,42.1,0.11,0.25,17.9,0.0,0.0,0.0,24.2,32.9,73.6,303.1,86.6,14.9,18.0,83.0,6.35,8.12,78.3,0.71,1.76,40.0,0.12,1.41,1.41,1.29,0.0,2.94,0.0,0.12,1.76,31.4,3.65,2.71,0.0,0.12,0.35,0.35,0.12,0.59,0.47,0.0,0.0,0.12,0.0,0.0,1.18,0.71,0.35,0.47,0.35,0.71,2.12,33.3,1.41,1.18,0.0,1.18,0.71,1.88,0.12,0.0,48.1,0.71,4.71,18.6,25.8,3.88,5.41,1.53,28.3,2.71,50.0,31.3,206.2,80.1,2.35,2.12,0.94,3.88,1.76,0.59,0.0,0.0,1.29,2.0,0.0,0.0,0.82,0.24,77.8,33.5,8.59,4.94,0.0,0.0,0.09792099792099791,0.3866943866943867,0.5363825363825364,0.01476091476091476,0.08066528066528066,30,0
Amine Adli,FW,22.0,2000,13,6,652,7.2,1,1.94,0.69,35.7,0.07,0.2,12.3,0.0,0.0,0.0,26.3,33.1,79.4,358.1,81.1,16.1,19.4,82.9,7.36,8.06,91.4,1.25,2.08,60.0,0.28,1.39,2.22,0.56,0.0,3.47,0.28,0.28,0.83,31.1,2.64,1.81,0.28,0.14,0.14,0.14,0.14,0.42,0.28,0.0,0.14,0.0,0.0,0.0,1.53,1.11,0.42,0.56,0.56,0.42,1.11,37.5,0.69,2.08,0.28,1.81,0.42,1.94,0.56,0.0,48.3,0.69,5.56,23.6,19.4,4.44,2.64,1.11,42.1,1.25,47.4,27.8,151.8,74.4,2.5,1.39,0.69,4.72,1.67,0.14,0.0,0.0,3.33,2.78,0.28,0.0,1.53,2.22,40.7,36.1,8.61,3.75,0.0,0.0,0.11511387163561076,0.48861283643892345,0.40165631469979296,0.014285714285714285,0.09192546583850933,35,0
Yacine Adli,AM,22.0,2000,4,1,116,1.3,0,1.54,1.54,100.0,0.0,0.0,18.5,0.0,0.0,0.0,29.2,46.2,63.3,512.3,166.2,14.6,18.5,79.2,9.23,13.8,66.7,3.85,8.46,45.5,0.0,0.77,3.08,1.54,0.0,6.15,0.0,0.77,3.08,44.6,0.77,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,2.31,1.54,3.08,0.0,1.54,1.54,100.0,0.0,1.54,0.0,1.54,0.77,5.38,0.77,0.0,60.0,0.77,8.46,29.2,24.6,0.77,0.77,0.77,100.0,0.0,0.0,33.8,217.7,108.5,3.85,3.08,0.0,1.54,1.54,0.77,0.0,0.0,2.31,0.77,0.0,0.0,0.0,2.31,0.0,44.6,5.38,3.85,0.0,0.0,0.14100000000000001,0.48666666666666664,0.41000000000000003,0.012833333333333334,0.012833333333333334,51,0
Michel Aebischer,MF,26.0,1997,18,8,775,8.6,1,1.16,0.23,20.0,0.1,0.5,15.4,0.12,0.0,0.0,32.6,39.8,81.9,497.3,150.0,18.0,20.1,89.6,11.4,13.3,86.0,2.33,3.84,60.6,0.0,0.93,2.21,0.12,0.0,2.56,0.0,0.23,1.05,37.9,2.21,1.51,0.23,0.12,0.23,0.12,0.0,0.23,0.0,0.0,0.0,0.12,0.12,0.0,0.47,0.12,0.23,0.0,0.23,0.12,0.58,20.0,0.47,1.28,0.23,1.05,0.35,0.81,0.7,0.0,47.2,1.05,9.53,22.7,15.1,1.86,0.47,0.12,25.0,0.35,75.0,27.7,109.5,49.9,0.81,0.7,0.23,1.74,1.16,0.35,0.0,0.0,1.16,1.63,0.58,0.0,0.58,1.05,35.7,35.8,5.0,5.0,0.12,0.12,0.20190677966101692,0.48093220338983045,0.3199152542372881,0.022245762711864406,0.039406779661016945,49,0
Felix Afena-Gyan,MF,20.0,2003,12,2,359,4.0,0,2.5,0.25,10.0,0.0,0.0,16.4,0.0,0.0,0.0,17.8,22.5,78.9,234.3,26.5,12.3,13.8,89.1,4.0,5.0,80.0,0.75,1.25,60.0,0.0,0.25,0.75,0.0,0.0,1.5,0.0,0.25,0.75,21.8,1.75,1.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.75,0.25,0.0,0.25,0.25,100.0,0.0,0.25,0.0,0.25,0.0,1.0,0.75,0.0,34.3,1.25,4.75,11.0,19.0,4.25,2.0,0.5,25.0,1.0,50.0,22.3,146.0,62.8,3.5,1.25,0.5,4.0,2.0,0.25,0.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,33.3,24.8,8.0,4.25,0.0,0.0,0.13848396501457727,0.3206997084548105,0.5539358600583091,0.03644314868804665,0.1239067055393586,23,0
Emmanuel Agbadou,DF,25.0,1997,19,18,1599,17.8,0,0.79,0.11,14.3,0.0,0.0,15.4,0.0,0.0,0.0,43.4,50.8,85.4,900.9,316.7,13.1,14.7,88.9,23.0,25.1,91.7,6.8,9.83,69.1,0.11,0.34,3.2,0.45,0.0,3.31,0.22,0.67,0.0,48.5,1.18,0.96,0.06,0.0,0.17,0.0,0.0,0.17,0.11,0.0,0.0,0.06,0.0,0.0,2.58,1.63,2.02,0.56,0.0,1.57,2.3,68.3,0.73,1.12,0.51,0.62,1.18,3.76,4.33,0.11,62.3,8.48,32.9,27.5,2.53,0.73,0.39,0.22,57.1,0.17,42.9,43.5,264.2,134.4,0.62,0.67,0.11,0.84,0.51,0.11,0.11,0.0,1.01,0.28,0.0,0.0,1.85,1.35,57.9,37.0,0.28,8.2,0.0,0.0,0.5280898876404494,0.4414125200642055,0.0406099518459069,0.136115569823435,0.011717495987158908,90,0
Lucien Agoume,MF,21.0,2002,5,4,286,3.2,0,0.31,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,47.5,57.2,83.1,832.2,203.1,20.9,24.1,87.0,18.4,21.3,86.8,6.25,8.75,71.4,0.0,0.63,3.13,0.94,0.31,5.94,0.0,0.94,0.94,55.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,2.19,1.88,1.25,1.25,1.56,2.19,71.4,0.63,0.63,0.31,0.31,1.88,6.25,1.25,0.0,69.7,3.13,20.3,36.3,13.4,1.25,1.56,0.63,40.0,0.31,20.0,52.5,275.6,113.1,1.25,1.88,0.0,0.63,0.94,0.63,0.0,0.0,2.19,1.56,0.31,0.0,3.13,0.63,83.3,48.8,0.31,5.63,0.0,0.0,0.29124820659971307,0.5208034433285509,0.19225251076040173,0.04490674318507891,0.017934002869440458,83,0
Felix Agu,DF,23.0,1999,3,0,49,0.5,0,2.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,32.0,50.0,64.0,598.0,288.0,8.0,10.0,80.0,18.0,20.0,90.0,4.0,12.0,33.3,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,2.0,38.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,66.0,2.0,14.0,26.0,28.0,4.0,6.0,0.0,0.0,4.0,66.7,38.0,330.0,48.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,50.0,38.0,4.0,6.0,0.0,2.0,0.21212121212121213,0.3939393939393939,0.42424242424242425,0.030303030303030304,0.06060606060606061,59,0
Kevin Agudelo,AM,24.0,1998,21,16,1443,16.0,0,1.13,0.31,27.8,0.0,0.0,20.5,0.0,0.0,0.0,19.6,27.8,70.6,297.8,103.3,11.1,13.9,79.4,6.38,8.31,76.7,1.19,2.19,54.3,0.0,0.88,2.44,1.0,0.06,4.31,0.13,0.06,1.31,26.6,1.88,1.31,0.06,0.19,0.19,0.13,0.0,0.13,0.06,0.0,0.0,0.0,0.06,0.0,2.94,1.38,0.88,1.25,0.81,1.13,2.75,40.9,1.63,1.75,0.25,1.5,0.44,3.38,0.13,0.0,41.8,0.5,6.25,19.6,17.3,2.06,3.38,1.38,40.7,1.63,48.1,23.9,173.9,94.6,2.88,2.38,0.69,2.63,2.44,0.13,0.0,0.0,1.63,1.75,0.13,0.0,0.56,1.25,31.0,25.4,3.88,5.69,0.0,0.0,0.14952153110047847,0.46889952153110054,0.41387559808612445,0.011961722488038277,0.049282296650717705,29,0
Nayef Aguerd,DF,26.0,1996,6,5,515,5.7,0,0.88,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,30.9,39.5,78.2,633.2,283.3,10.0,10.9,91.9,16.5,19.5,84.7,4.04,8.07,50.0,0.0,0.18,1.93,0.35,0.0,1.58,0.0,0.88,0.0,37.7,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,1.58,1.58,0.7,0.0,1.23,1.58,77.8,0.35,1.23,1.05,0.18,1.05,3.33,4.39,0.0,50.5,6.32,26.0,23.3,1.58,1.05,0.18,0.18,100.0,0.0,0.0,27.7,105.1,51.2,0.18,0.0,0.0,0.53,0.0,0.53,0.0,0.0,0.7,0.7,0.18,0.0,1.75,1.05,62.5,30.2,0.35,5.26,0.0,0.0,0.5148514851485149,0.4613861386138614,0.03128712871287129,0.12514851485148515,0.020792079207920793,63,0
Ruben Aguilar,DF,29.0,1993,13,7,615,6.8,0,0.29,0.29,100.0,0.0,0.0,12.1,0.0,0.0,0.0,47.9,58.7,81.7,753.8,310.6,25.0,28.1,89.0,18.8,22.2,84.8,2.79,5.15,54.3,0.0,0.15,4.26,1.03,0.29,6.47,0.0,0.15,1.76,48.5,1.18,0.88,0.15,0.0,0.15,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,1.91,0.74,0.88,0.44,0.59,0.74,1.91,38.5,1.18,0.44,0.0,0.44,1.91,3.82,2.79,0.0,69.3,3.38,17.6,33.1,18.7,2.06,0.74,0.44,60.0,0.15,20.0,42.9,223.7,96.9,1.47,0.88,0.15,1.03,0.44,0.29,0.0,0.0,1.47,1.03,0.0,0.0,0.74,1.32,35.7,39.7,3.24,5.29,0.0,0.0,0.253968253968254,0.4776334776334777,0.2698412698412698,0.048773448773448774,0.02972582972582973,75,0
Naouirou Ahamada,AM,20.0,2002,2,0,16,0.2,0,5.0,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,50.0,70.0,71.4,760.0,225.0,25.0,30.0,83.3,25.0,35.0,71.4,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,5.0,70.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,85.0,0.0,10.0,60.0,15.0,10.0,5.0,5.0,100.0,0.0,0.0,40.0,165.0,60.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,55.0,20.0,10.0,0.0,0.0,0.11764705882352941,0.7058823529411765,0.17647058823529413,0.0,0.11764705882352941,76,0
Naouirou Ahamada,MF,20.0,2002,17,17,1398,15.5,2,1.03,0.32,31.3,0.13,0.4,22.1,0.0,0.0,0.0,29.0,34.1,84.9,449.4,106.5,14.4,15.6,92.1,12.1,13.2,91.7,1.35,2.58,52.5,0.13,0.97,2.45,0.45,0.13,3.61,0.13,0.06,0.39,33.2,2.45,2.0,0.0,0.19,0.13,0.06,0.06,0.45,0.45,0.0,0.0,0.0,0.0,0.0,1.1,0.71,0.45,0.45,0.19,0.52,1.29,40.0,0.77,1.03,0.32,0.71,0.52,1.61,0.45,0.0,43.5,1.16,8.97,25.0,10.3,1.42,2.71,1.16,42.9,1.29,47.6,26.3,192.4,97.5,2.77,1.74,0.39,2.19,0.71,0.26,0.06,0.06,1.03,1.1,0.06,0.0,0.45,1.03,30.4,29.2,3.48,5.68,0.0,0.06,0.20620689655172414,0.5747126436781609,0.2367816091954023,0.026666666666666665,0.03264367816091954,44,0
