Player,Position_Cleaned,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,TB,Sw,PasCrs,PasLive,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,CrdY,CrdR,2CrdY,Fls,Fld,Off,OG,AerWon,AerLost,AerWon%,Rec,RecProg,Recov,PKwon,PKcon,TouDef3rd_norm,TouMid3rd_norm,TouAtt3rd_norm,TouDefPen_norm,TouAttPen_norm,grid_x,grid_y
Unai Simon,GK,25.0,1997,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,73.1,614.9,453.6,3.24,3.29,98.6,12.0,12.2,98.1,6.67,14.3,46.5,0.0,0.0,0.52,0.0,0.0,0.1,0.0,0.05,0.0,21.9,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.38,0.05,31.9,26.0,31.6,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,101.7,59.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14.4,0.0,1.19,0.0,0.0,0.9905956112852665,0.007523510971786834,0.0,0.8150470219435737,0.0,61,0
Lassine Sinayoko,AM,23.0,1999,21,14,1188,13.2,0,2.05,0.45,22.2,0.0,0.0,17.7,0.0,0.0,0.0,24.0,32.6,73.7,348.4,100.2,13.3,17.1,77.4,7.8,10.3,75.7,1.36,2.58,52.9,0.15,1.06,1.82,1.52,0.45,4.17,0.08,0.3,2.05,32.3,3.03,2.2,0.0,0.23,0.3,0.3,0.0,0.38,0.23,0.0,0.0,0.0,0.15,0.0,2.27,1.06,0.98,0.76,0.53,1.44,2.27,63.3,0.83,0.83,0.0,0.83,0.83,3.11,1.06,0.0,46.4,1.59,7.5,19.1,21.0,4.17,3.64,1.52,41.7,1.67,45.8,34.1,239.5,108.4,3.03,2.12,1.06,2.58,1.89,0.15,0.08,0.08,1.44,1.36,0.3,0.0,1.06,1.97,35.0,30.8,9.17,6.67,0.08,0.0,0.16163793103448276,0.4116379310344828,0.4525862068965517,0.03426724137931035,0.08987068965517242,34,0
Wilfried Singo,DF,22.0,2000,16,11,1071,11.9,0,1.18,0.25,21.4,0.0,0.0,15.5,0.0,0.0,0.0,39.2,52.3,74.9,667.5,207.6,18.3,21.5,85.2,16.8,22.5,74.6,3.11,5.63,55.2,0.08,0.92,2.1,1.01,0.34,3.53,0.08,0.34,2.1,41.8,1.6,1.09,0.0,0.08,0.42,0.0,0.0,0.25,0.17,0.0,0.0,0.08,0.0,0.0,1.26,0.84,0.76,0.34,0.17,0.59,0.76,77.8,0.17,0.76,0.0,0.76,0.5,1.76,1.93,0.0,62.4,2.35,14.0,29.7,19.3,2.18,1.85,0.84,45.5,0.59,31.8,31.0,160.8,75.5,2.27,1.43,0.42,1.18,0.92,0.25,0.0,0.0,1.85,1.51,0.0,0.0,2.1,1.09,65.8,37.1,4.12,5.04,0.0,0.0,0.22435897435897437,0.47596153846153844,0.3092948717948718,0.037660256410256415,0.03493589743589744,66,0
Luis Sinisterra,FW,23.0,1999,12,8,537,6.0,2,2.17,0.83,38.5,0.15,0.4,17.3,0.0,0.0,0.0,30.2,36.7,82.3,420.0,102.2,15.7,18.3,85.5,9.33,10.3,90.3,1.5,1.83,81.8,0.0,0.67,2.0,1.33,0.17,3.5,0.33,0.67,0.67,36.2,3.67,2.83,0.0,0.33,0.17,0.33,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.0,2.33,1.5,0.5,1.5,0.33,1.17,2.0,58.3,0.83,0.67,0.0,0.67,1.0,3.33,0.17,0.0,49.5,0.33,4.33,23.7,22.2,3.17,4.67,2.17,46.4,2.0,42.9,29.8,170.7,93.5,3.0,1.33,1.0,1.67,2.0,0.5,0.17,0.17,1.5,1.5,0.5,0.0,1.67,1.5,52.6,36.8,8.67,6.0,0.0,0.17,0.08747474747474748,0.47878787878787876,0.4484848484848485,0.006666666666666667,0.06404040404040404,42,0
Daley Sinkgraven,DFM,27.0,1995,7,3,258,2.9,0,1.03,0.34,33.3,0.0,0.0,18.9,0.0,0.0,0.0,36.9,49.3,74.8,583.8,167.6,22.4,25.5,87.8,10.7,14.8,72.1,3.45,7.59,45.5,0.34,1.03,2.41,0.34,0.34,1.72,0.0,0.0,0.69,40.0,1.72,1.03,0.0,0.34,0.34,0.0,0.0,0.69,0.34,0.0,0.0,0.34,0.0,0.0,1.72,1.72,0.69,1.03,0.0,1.72,2.07,83.3,0.34,1.72,1.03,0.69,1.38,3.1,1.72,0.0,60.3,3.1,18.3,27.6,14.8,1.03,1.72,1.03,60.0,0.69,40.0,29.3,133.1,56.6,1.38,1.03,0.0,0.69,1.72,0.34,0.0,0.0,1.38,1.03,0.0,0.0,0.34,1.03,25.0,38.3,4.48,4.14,0.0,0.0,0.3034825870646766,0.4577114427860697,0.24543946932006636,0.05140961857379768,0.017081260364842456,58,0
Hugo Siquet,DF,20.0,2002,2,0,17,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,71.4,295.0,220.0,20.0,20.0,100.0,5.0,15.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,100.0,0.0,5.0,0.0,5.0,0.0,10.0,0.0,0.0,55.0,10.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,40.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.6363636363636364,0.0,0.18181818181818182,0.0,29,0
Ibrahima Sissoko,MF,25.0,1997,12,4,486,5.4,0,1.11,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,31.3,40.9,76.5,478.1,105.6,16.9,20.6,82.0,10.7,12.8,84.1,2.41,3.52,68.4,0.0,0.56,2.59,0.74,0.37,3.33,0.0,0.0,1.3,40.2,1.85,1.3,0.0,0.0,0.37,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.11,1.11,0.37,0.19,0.74,2.22,33.3,1.48,1.85,0.74,1.11,0.37,2.04,1.48,0.0,54.4,3.7,11.9,29.8,13.3,2.22,1.3,0.19,14.3,0.93,71.4,37.8,193.1,68.0,1.11,1.3,0.0,2.59,2.41,0.0,0.0,0.0,2.59,1.3,0.19,0.0,2.78,1.85,60.0,35.2,5.19,7.96,0.0,0.19,0.21875,0.5477941176470589,0.24448529411764708,0.06801470588235295,0.04080882352941177,47,0
Tim Skarke,DFM,26.0,1996,3,0,53,0.6,0,6.67,3.33,50.0,0.0,0.0,22.6,0.0,0.0,0.0,36.7,60.0,61.1,563.3,118.3,18.3,26.7,68.8,18.3,23.3,78.6,0.0,8.33,0.0,0.0,1.67,1.67,1.67,1.67,0.0,0.0,1.67,13.3,53.3,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,0.0,0.0,1.67,0.0,0.0,0.0,0.0,1.67,0.0,1.67,0.0,1.67,0.0,0.0,83.3,1.67,6.67,25.0,51.7,8.33,3.33,1.67,50.0,1.67,50.0,55.0,265.0,81.7,5.0,0.0,1.67,5.0,6.67,1.67,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.67,0.0,56.7,16.7,1.67,0.0,0.0,0.08007202881152461,0.3001200480192077,0.6206482593037216,0.020048019207683072,0.1,56,0
Tim Skarke,MF,26.0,1996,3,3,212,2.4,0,2.92,0.83,28.6,0.0,0.0,26.4,0.42,0.0,0.0,17.9,30.8,58.1,307.1,91.3,8.33,11.7,71.4,7.08,12.5,56.7,2.08,3.33,62.5,0.0,2.5,1.25,0.83,0.83,2.92,0.0,0.0,5.0,27.9,5.0,3.33,0.83,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.42,0.42,1.25,0.0,0.83,2.08,40.0,1.25,0.83,0.0,0.83,0.0,1.67,0.42,0.0,44.2,0.42,4.58,17.9,22.1,1.67,2.5,0.42,16.7,2.08,83.3,22.1,101.7,28.8,0.42,1.67,0.0,2.92,0.42,0.0,0.0,0.0,0.83,2.5,0.83,0.0,0.83,2.92,22.2,25.0,5.0,6.67,0.0,0.0,0.10361990950226244,0.4049773755656108,0.5,0.009502262443438913,0.03778280542986425,30,0
Oliver Skipp,MF,22.0,2000,8,3,198,2.2,0,0.45,0.45,100.0,0.0,0.0,12.6,0.0,0.0,0.0,35.5,45.5,78.0,504.5,133.2,19.1,22.3,85.7,14.5,16.4,88.9,0.45,1.82,25.0,0.0,1.36,1.36,1.36,0.45,3.18,0.45,0.0,3.64,44.5,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.91,0.45,0.91,0.0,0.45,2.73,16.7,2.27,0.45,0.0,0.45,0.0,1.36,1.82,0.0,51.4,3.18,13.6,21.8,16.8,0.91,0.45,0.0,0.0,0.45,100.0,27.3,125.9,63.6,1.82,2.27,0.0,0.45,0.45,0.91,0.0,0.0,1.82,0.91,0.0,0.0,0.45,0.91,33.3,35.0,4.55,8.64,0.0,0.0,0.26459143968871596,0.4241245136186771,0.32684824902723736,0.061867704280155644,0.017704280155642023,50,0
